movie,name,rating
Titanic,Kristian,4,
Parasite,valerie,5,
Praxis Dr. Hasenbein,Philipp,7,
About Time,Kulissara,4,
It,Kuissara,3,
Citizen One,Kristian,5,
Alien 2,Radek,5,
Dune,Stephan,4,
We need to talk about Kevin,Stephan,4,
300,Inbal,1,
John Wick,Hakan,5,
John Wick,Inbal,5,
Pirate of Caribbean,Chinh,5,
Dune,Kristian,4,
Dune,Inbal,5,
Kill Bill,Radek,1,
Another Round,Stephan,4,
Terminator 2,Radek,5,
Carnage,Inbal,5,
Carnage,Kristian,5,
Lord of the Rings,Radek,5,
Life of Brian,Inbal,5,
Kill Bill,Dina,5,
Ender's game,Inbal,3,
Moneyball,Kristian,3,
Too big too fail,Inga,5,
The Equalizer,Hakan,4,
the devil all the time,Dina,5,
Lord of the Rings,Hakan,5,
the Irishman,Hakan,1,
How to train a dragon,Inbal,4,
Kill Bill,Stephan,3,
the guilty,Dina,5,
Titanic,Radek,2,
John Wick 3,Dina,2,
Benjamin Button,Dina,4,
The Simpsons,Inbal,5,
Titanic,Chinh,5,
How to train a dragon,Dina,3,
The Shawshank Redemption,Kristian,5,
Lord of the Rings,Kristian,5,
Lucky number sleven,Dina,5,
Dumm und Dümmer,Radek,5,
Dumm und Dümmer,Inbal,3,
Django Unchained,Stephan,2,
Zodiac,Stephan,3,
Clockwork Orange,Kristian,1,
Who am I,Hakan,4,
Parasite,Chinh,5,
Wall-e,Radek,4,
The midnight Sky,Hakan,4,
Predator,Radek,5,
Eye in the Sky,Niels,4,
Shining,Stephan,5,
The Imitation Game,Chinh,4,
Silence of the lambs,Stephan,5,
